X,Y,Current,styrkur,type,flow,vertex_index,vertex_part,vertex_part_index,distance,angle
-22.7117892411233,64.5476742104766,ICC,"1",local,o,"26","0","26",4.07291977659233,1.29828900477975
-22.712779569614,64.6173839049072,ICC,"1",local,o,"27","0","27",4.14263650520271,346.64341094416284
-22.7385281103722,64.6704126694315,ICC,"1",local,o,"28","0","28",4.20158595149481,317.31561212747732
-22.7959671628328,64.7042880371573,ICC,"1",local,o,"29","0","29",4.26827017216300,295.76405151930442
-22.874203113598,64.7343162708345,ICC,"1",local,o,"30","0","30",4.35207088104973,286.86328876716772
-22.9752166196494,64.757134305599,ICC,"1",local,o,"31","0","31",4.45562951717101,280.30360109658608
-23.0881140675891,64.7727564235916,ICC,"1",local,o,"32","0","32",4.56960269086501,275.63303037605169
-23.1950695445847,64.7790879322697,ICC,"1",local,o,"33","0","33",4.67674540905660,268.65226973003234
-23.3139089634686,64.766422736527,ICC,"1",local,o,"34","0","34",4.79625781286421,261.81613703371448
-23.6446786793622,64.7064044469317,ICC,"1",local,o,"35","0","35",5.13242860284794,262.28777013889322
-23.8140248512718,64.6911714872881,ICC,"1",local,o,"36","0","36",5.30245850904078,269.21493262043771
-23.9496998544977,64.6996358295242,ICC,"1",local,o,"37","0","37",5.43839728787087,278.90901904688394
-24.0596263169653,64.7275498345174,ICC,"1",local,o,"38","0","38",5.55181253739847,288.87373607659947
-24.1616301515073,64.7719009101741,ICC,"1",local,o,"39","0","39",5.66304113162309,298.03375561589183
-24.2408564307633,64.8225062917797,ICC,"1",local,o,"40","0","40",5.75705021614259,309.29100691619396
-24.2883921983169,64.8717547796918,ICC,"1",local,o,"41","0","41",5.82549773442142,339.98931115107524
-24.2854212128448,64.9146202094049,ICC,"1",local,o,"42","0","42",5.86846599967805,32.81433710353430
-24.2200595324586,64.9498670354902,ICC,"1",local,o,"43","0","43",5.94272559846494,67.84254741015654
-23.9992162790326,65.0131042826906,ICC,"1",local,o,"44","0","44",6.17244432216258,75.27515492048792
-23.7357889005066,65.0762061982614,ICC,"1",local,o,"45","0","45",6.44332406578657,80.42208057221777
-23.4634485655642,65.103316994036,ICC,"1",local,o,"46","0","46",6.71701047992518,82.61112171071926
-23.3020250215802,65.129152152711,ICC,"1",local,o,"47","0","47",6.88048835603115,79.97000106940298
-23.1495144340125,65.1587065091218,ICC,"1",local,o,"48","0","48",7.03583615711990,76.69738135668673
-23.042558957017,65.1886456442484,ICC,"1",local,o,"49","0","49",7.14690292024671,63.38146491767876
-22.9940328609727,65.226014414049,ICC,"1",local,o,"50","0","50",7.20815001775926,38.35895190383281
-22.973235962668,65.2720382390566,ICC,"1",local,o,"51","0","51",7.25865450713814,2.00824025808834
-22.9880908900285,65.3121954232496,ICC,"1",local,o,"52","0","52",7.30147118974196,319.11991274425077
-23.0534525704147,65.3477433871432,ICC,"1",local,o,"53","0","53",7.37587419371280,294.92142432803843
-23.1455531200497,65.383656713396,ICC,"1",local,o,"54","0","54",7.47472902791740,285.03268835825673
-23.2713248383685,65.403043534987,ICC,"1",local,o,"55","0","55",7.60198614551903,274.38138628593515
-23.4466129812223,65.403043534987,ICC,"1",local,o,"56","0","56",7.77727428837283,268.28511392084846
-23.8457153629742,65.3791243636247,ICC,"1",local,o,"57","0","57",8.17709279454617,267.72485410116764
-24.0566553314932,65.3749985358996,ICC,"1",local,o,"58","0","58",8.38807310825626,270.46587579472305
-24.2408564307633,65.3815992379543,ICC,"1",local,o,"59","0","59",8.57239243507775,274.94946200402916
-24.3814830764426,65.4009793583501,ICC,"1",local,o,"60","0","60",8.71434821178857,282.17133762349704
-24.5122064372149,65.4396915109114,ICC,"1",local,o,"61","0","61",8.85068319558784,289.52515786893008
-24.624113556664,65.4861692431726,ICC,"1",local,o,"62","0","62",8.97185820530320,297.41931010766507
-24.6865042515781,65.5255871199852,ICC,"1",local,o,"63","0","63",9.04565771630616,316.57154009363825
-24.7102721353548,65.5682173311773,ICC,"1",local,o,"64","0","64",9.09446598615367,339.22740621584546
-24.7191850917711,65.6087424912486,ICC,"1",local,o,"65","0","65",9.13595971328065,18.67152723147361
-24.6627363678013,65.6565349456252,ICC,"1",local,o,"66","0","66",9.20992306321266,58.16471439134562
-24.4191155590892,65.7620477749531,ICC,"1",local,o,"67","0","67",9.47541139740139,65.22166679891237
-24.3032471256774,65.818909215618,ICC,"1",local,o,"68","0","68",9.60448005082193,60.58658418456596
-24.1259783258422,65.9326601687266,ICC,"1",local,o,"69","0","69",9.81510651337622,57.31226828067916
-11.5664994004793,65.6096277118339,EIC,"3",Arctic,o,"0","0","0",0.00000000000000,134.63733639082034
-10.5522261406055,64.6081138975107,EIC,"3",Arctic,o,"1","0","1",1.42540526376721,129.67693633755476
-9.9894142703223,64.2181641184257,EIC,"3",Arctic,o,"2","0","2",2.11010814205826,119.88425668819426
-9.49608534698766,63.9875759858345,EIC,"3",Arctic,o,"3","0","3",2.65466696669564,110.00442196773179
-8.77114660049121,63.7939140442332,EIC,"3",Arctic,o,"4","0","4",3.40502763583856,102.09747332871488
-7.62931017230353,63.6081980208641,EIC,"3",Arctic,o,"5","0","5",4.56186853677198,97.01648312076908
-6.5847498698438,63.5205777238399,EIC,"3",Arctic,o,"6","0","6",5.61009730089047,93.41205615453596
-4.92179133954205,63.4616566277546,EIC,"3",Arctic,o,"7","0","7",7.27409933486376,92.02922588159927
-15.2123694472315,68.6340915710975,EIC,"1",Arctic,o,"0","0","0",0.00000000000000,237.37425129954448
-15.4853710602029,68.4593268410188,EIC,"1",Arctic,o,"1","0","1",0.32414902678317,242.35431793349997
-15.9574363492993,68.2621904393013,EIC,"1",Arctic,o,"2","0","2",0.83572345739100,252.61804014361769
-16.8702854926723,68.0665207978924,EIC,"1",Arctic,o,"3","0","3",1.76930803691556,253.41909613416567
-17.1717247736616,67.950425607396,EIC,"1",Arctic,o,"4","0","4",2.09233084319974,236.52592888502133
-17.4162887186151,67.6981905460672,EIC,"1",Arctic,o,"5","0","5",2.44366266546296,206.42616720954345
-17.4614820472567,67.404120103272,EIC,"1",Arctic,o,"6","0","6",2.74118554236400,188.73697319759555
-24.6650502963658,67.0871655631999,NIJ,"2",Arctic,u,"0","0","0",0.00000000000000,271.31173198493309
-25.0034585457782,67.0949144497627,NIJ,"2",Arctic,u,"1","0","1",0.33849695495434,274.75370227184322
